Author_Label by {1}    //    バージョン {0}    //    JP loc. [for 3.25.3.1 ver0.1.1] by Clara_3772

Stat_Kills_Zombies_Normal これまで {0}体 のゾンビを倒した! 世界中で {1}体 のゾンビが倒された!
Stat_Kills_Players これまで {0}人 のプレイヤーを倒した! 世界中で {1}人 のプレイヤーが倒された!
Stat_Deaths_Players これまで {0}回 殺害された! 世界中で {1}人 のプレイヤーが殺害された!
Stat_Found_Items これまで {0}個 のアイテムを拾った! 世界中で {1}個 のアイテムが拾われた!
Stat_Found_Resources これまで {0}回 採集をした! 世界中で {1}回 作物が採集された!
Stat_Found_Experience これまで {0}ポイント の経験値を得た! 世界中で {1}ポイント の経験値が獲得された!
Stat_Kills_Zombies_Mega これまで {0}体 のメガゾンビを倒した! 世界中で {1}体 のメガゾンビが倒された!
Stat_Kills_Animals これまで {0}頭 の動物を倒した! 世界中で {1}頭 の動物が倒された!
Stat_Found_Crafts これまで {0}個 のアイテムを作成した! 世界中で {1} 個アイテムが作成された!
Stat_Found_Fishes これまで {0}匹 の魚を釣った! 世界中で {1} 匹の魚が釣られた!
Stat_Found_Plants これまで {0}回 作物を作った! 世界中で {1} 個の作物が作られた!
Stat_Accuracy これまで {0}発 の弾丸を {1}% の精度で撃った! 世界中で {2} 発の弾丸が {3}% の精度で射撃された!
Stat_Headshots これまで {0}回 ヘッドショットをした! 世界中で {1} 回ヘッドショットされた!
Stat_Travel_Foot これまで {0} 歩いた! 世界中で {1} の距離が歩かれた!
Stat_Travel_Vehicle これまで {0} 車両を運転した! 世界中で {1} の距離が運転された!
Stat_Arena_Wins これまで {0}回 アリーナモードで勝利した! 世界中で {1} 回アリーナモードが行われた!
Stat_Found_Buildables これまで {0}個 の建築物を建造した! 世界中で {1}回 建物が建造された!
Stat_Found_Throwables これまで {0}回 投擲物を投擲した! 世界中で {1}回 投擲された!
