Message_0_Page_0 I've picked up a location for you to scout out, would you be interested in taking care of it?
Message_1_Page_0 I've got another location for you to check out, but it's a bit farther away. Interested?
Message_2_Page_0 I could use your help scouting out another location, if you are interested!
Message_3_Page_0 This location would be key, but according to an old report there have been sightings of a rather large zombie. Interested?
Message_4_Page_0 I think it's time we check out Holokai Harbor. I think there is more to that harbor than meets the eye!
Message_5_Page_0 Anything to report?

Response_0 見てきます
Response_1 今はだめです
Response_2 Aouli Harbor を偵察してきました!
Response_3 見てきます
Response_4 今はだめです
Response_5 Hilo を偵察してきました!
Response_6 見てきます
Response_7 今はだめです
Response_8 Alika Base を偵察してきました!
Response_9 見てきます
Response_10 今はだめです
Response_11 Waikoloa を偵察してきました!
Response_12 見てきます
Response_13 今はだめです
Response_14 Holokai Harbor を偵察してきました!
Response_15 何に取り掛かってるんですか?
Response_16 何でもないです
