Message_0_Page_0 I've picked up a fairly straightforward location to scout out, would you be interested in taking care of it?
Message_1_Page_0 I've got another location for you to check out, but it'll be a bit trickier. Interested?
Message_2_Page_0 If you're still interested I've got another location for you to check out!
Message_3_Page_0 This location looks very promising, but according to an old report it's irradiated. Interested?
Message_4_Page_0 I think it's time we check out the original Russian FoB. Be warned:<pause> it's very radioactive and dangerous. Interested?
Message_5_Page_0 Anything to report?

Response_0 調べてきます
Response_1 今はダメ
Response_2 空港を偵察してきました!
Response_3 調べてきます
Response_4 今はダメ
Response_5 戦車工場を偵察してきました!
Response_6 調べてきます
Response_7 今はダメ
Response_8 軍事基地を偵察してきました!
Response_9 調べてきます
Response_10 今はダメ
Response_11 ミサイル格納庫を偵察してきました!
Response_12 調べてきます
Response_13 今はダメ
Response_14 石油リグを偵察してきました!
Response_15 何をしているんですか?
Response_16 何もありません
